/home/luis/PycharmProjects/chameleon_cluster/venv/bin/python /home/luis/PycharmProjects/chameleon_cluster/main.py
Building kNN graph (k = 6)...
100%|██████████| 32/32 [00:00<00:00, 1877.38it/s]
Begin clustering...
%fs 2.463999902829528e-06
%fs 2.3360000923275947e-06
%fs 5.692800134420395e-05
%fs 2.78400001116097e-06
%fs 2.431999891996384e-06
%fs 5.510399863123894e-05
%fs 5.38880005478859e-05
%fs 5.2960000932216646e-05
%fs 2.5599999353289604e-06
%fs 2.623999956995249e-06
%fs 5.644800141453743e-05
%fs 2.495999913662672e-06
%fs 2.463999902829528e-06
%fs 5.558399856090546e-05
%fs 5.2960000932216646e-05
%fs 5.862399935722351e-05
%fs 2.5599999353289604e-06
%fs 2.5919999461621047e-06
%fs 5.606399849057198e-05
%fs 2.527999924495816e-06
%fs 2.4000001139938832e-06
%fs 5.369599908590317e-05
%fs 5.119999870657921e-05
%fs 5.116799846291542e-05
%fs 5.164799839258194e-05
%fs 2.495999913662672e-06
%fs 2.4000001139938832e-06
%fs 5.4687999188899995e-05
%fs 2.495999913662672e-06
%fs 2.4000001139938832e-06
%fs 5.744000151753426e-05
%fs 5.926400050520897e-05
%fs 5.670399963855743e-05
%fs 2.5599999353289604e-06
%fs 2.3040000814944505e-06
%fs 6.182400137186051e-05
%fs 2.78400001116097e-06
%fs 2.623999956995249e-06
%fs 5.510399863123894e-05
%fs 5.292800068855286e-05
%fs 5.529600009322167e-05
%fs 5.244800075888634e-05
%fs 5.673599988222122e-05
%fs 5.3952001035213474e-05
%fs 2.431999891996384e-06
%fs 2.2400000598281624e-06
%fs 5.942400172352791e-05
%fs 2.5599999353289604e-06
%fs 2.431999891996384e-06
%fs 5.558399856090546e-05
%fs 5.539200082421303e-05
%fs 5.193600058555603e-05
%fs 5.113599821925163e-05
%fs 2.5919999461621047e-06
%fs 2.4000001139938832e-06
%fs 5.615999922156334e-05
%fs 2.816000021994114e-06
%fs 2.655999967828393e-06
%fs 5.718399956822395e-05
%fs 6.620799750089646e-05
%fs 5.772799998521805e-05
%fs 2.3360000923275947e-06
%fs 2.527999924495816e-06
%fs 6.380800157785416e-05
%fs 2.431999891996384e-06
%fs 2.4000001139938832e-06
%fs 5.632000043988228e-05
%fs 5.6607998907566074e-05
%fs 5.491200089454651e-05
%fs 2.7520000003278255e-06
%fs 2.4000001139938832e-06
%fs 5.926400050520897e-05
%fs 2.3360000923275947e-06
%fs 2.3040000814944505e-06
%fs 5.4687999188899995e-05
%fs 5.337600037455559e-05
%fs 5.6864000856876374e-05
%fs 5.529600009322167e-05
%fs 2.463999902829528e-06
%fs 2.1120000164955853e-06
%fs 6.825599819421769e-05
%fs 2.431999891996384e-06
%fs 2.431999891996384e-06
%fs 5.41439987719059e-05
%fs 5.6864000856876374e-05
%fs 5.580800026655197e-05
%fs 2.495999913662672e-06
%fs 2.4000001139938832e-06
%fs 5.932800099253654e-05
%fs 2.687999978661537e-06
%fs 2.495999913662672e-06
%fs 5.462399870157242e-05
%fs 5.4207999259233475e-05
%fs 5.1327999681234364e-05
%fs 2.368000103160739e-06
%fs 2.463999902829528e-06
%fs 5.603199824690819e-05
%fs 2.463999902829528e-06
%fs 2.3040000814944505e-06
%fs 5.7599999010562895e-05
%fs 5.436800047755242e-05
%fs 5.267199873924256e-05
%fs 2.78400001116097e-06
%fs 2.7199999894946813e-06
%fs 5.702399834990502e-05
%fs 2.5599999353289604e-06
%fs 2.368000103160739e-06
%fs 5.577600002288818e-05
%fs 5.3952001035213474e-05
%fs 5.9487998485565186e-05
%fs 2.463999902829528e-06
%fs 2.431999891996384e-06
%fs 5.993599817156792e-05
%fs 2.527999924495816e-06
%fs 2.431999891996384e-06
%fs 5.628800019621849e-05
%fs 5.263999849557877e-05
%fs 5.145600065588951e-05
%fs 5.1392000168561934e-05
%fs 2.431999891996384e-06
%fs 2.495999913662672e-06
%fs 5.6127998977899554e-05
%fs 2.463999902829528e-06
%fs 2.3360000923275947e-06
%fs 5.756799876689911e-05
%fs 6.57920017838478e-05
%fs 5.6832000613212586e-05
